County,"Accidents - Fractures, injuries,etc.",All Others diseases,Aneamia,Bilharzia,"Bites - Animal, Snake, etc",Brucellosis,Burns,Chicken Pox,Clinical Malaria,Confirmed Malaria,Congenital Anomalies,Dental Disorders,Diabetes,Diarrhoea,Dis. of the skin (incl. wounds),Dysentery,Ear Infections,Epilepsy,Eye Infections,Intestinal worms,Malnutrition,Measles,Mental Disorders,Mumps,Other Dis. of Respiratory System,Pneumonia,Poisoning,Reporting rates (%),Sexual Assault,Tuberculosis,Typhoid fever,Urinary Tract Infection
Baringo,1876,13945,202,25,465,16,1586,864,41281,7630,120,252,1,24056,12300,132,3012,53,4846,3313,421,9,72,1648,127177,7219,137,85.5,74,30,88,538
Bomet,1483,51421,138,6,417,67,1704,1188,28194,1583,24,443,18,28708,26029,28,4015,39,4232,7565,203,22,39,821,151270,4966,72,84.7,46,25,184,473
Bungoma,3310,27558,1861,52,814,26,1797,1404,70734,106449,175,520,23,33482,23316,1049,4006,121,4581,4185,1923,149,77,632,122954,20640,281,96.3,97,40,1454,2340
Busia,1723,22952,2494,29,509,30,1122,499,78642,115275,169,679,8,24968,25057,1090,3183,61,3786,3123,928,113,67,439,100482,12247,174,96.9,85,54,679,2665
Elgeyo-Marakwet,2753,20383,203,12,484,17,1561,745,13761,3641,65,382,8,21549,13215,352,3302,123,3522,1331,194,6,131,614,101010,7747,240,95.1,289,30,340,510
Embu,1673,48217,702,119,264,72,1111,1359,14091,15727,45,3452,4,13082,18073,399,4435,47,7008,14630,500,34,517,820,106683,19100,270,98.8,66,38,149,1260
Garissa,1335,18665,804,638,642,199,1019,310,6513,3257,62,675,17,24602,14254,480,6025,56,3400,9694,2597,13,96,218,62457,10522,91,87.3,38,43,340,3208
Homa Bay,1491,22826,3264,265,529,10,1610,1031,119951,103687,130,816,12,32278,21011,1041,3912,77,4311,4926,1055,164,194,787,114236,9538,127,87.8,128,113,1961,2142
Isiolo,417,6415,393,10,100,22,335,91,7050,4993,33,105,3,6943,4014,100,1390,10,1570,1767,137,3,17,302,32450,2553,40,83.5,9,12,67,451
Kajiado,2868,35269,971,575,560,176,2062,1416,23245,9349,77,953,41,36321,20359,515,6302,78,11937,2691,854,249,86,1041,139985,20164,395,83.9,80,42,968,3379
Kakamega,4225,33282,1960,121,720,12,2904,1678,143389,135282,214,904,27,45722,39263,872,29474,184,8323,8693,1748,111,330,1927,194933,20646,422,91.8,218,108,1115,2930
Kericho,2591,37820,602,176,609,72,2206,1790,48614,10137,204,979,67,40100,22341,104,3372,111,4339,8221,382,184,126,1191,144982,6184,222,88.4,103,28,627,919
Kiambu,6497,114815,1514,83,739,54,2977,5867,10294,5806,580,2336,154,53984,42671,199,10188,223,14212,18038,1038,181,264,3415,331246,25647,565,93,202,128,679,4244
Kilifi,4585,66262,2141,587,679,81,3589,3279,18169,27376,378,1050,57,51943,49038,3423,8505,190,8029,14219,1270,57,295,617,217052,20143,641,97.4,266,74,147,3156
Kirinyaga,2022,49324,262,110,229,4,868,1348,10260,624,55,973,3,20296,20389,110,4407,13,6533,9745,197,11,116,752,146161,6144,240,100,83,56,273,1331
